date,最高温度,最低温度,天气状况_数字编码,target
2018/6/23,31.00 ,25.00 ,12,320683.5605
2018/6/24,32.00 ,26.00 ,5,309764.6628
2018/6/25,33.00 ,26.00 ,7,323047.0885
2018/6/26,33.00 ,26.00 ,12,319557.7675
2018/6/27,33.00 ,26.00 ,1,329076.2233
2018/6/28,35.00 ,27.00 ,1,338669.8109
2018/6/29,35.00 ,27.00 ,1,339965.5641
2018/6/30,35.00 ,27.00 ,5,328747.8384
2018/7/1,34.00 ,28.00 ,12,324237.6697
2018/7/2,35.00 ,27.00 ,5,344515.6879
2018/7/3,34.00 ,27.00 ,12,340815.2326
2018/7/4,34.00 ,28.00 ,1,345668.0913
2018/7/5,35.00 ,28.00 ,5,346529.0891
2018/7/6,35.00 ,28.00 ,12,345338.5177
2018/7/7,33.00 ,27.00 ,12,327533.4564
2018/7/8,32.00 ,26.00 ,12,311845.6033
2018/7/9,34.00 ,26.00 ,5,333871.0008
2018/7/10,35.00 ,27.00 ,1,338169.6503
2018/7/11,36.00 ,28.00 ,1,345017.2822
2018/7/12,34.00 ,26.00 ,12,346219.178
2018/7/13,30.00 ,25.00 ,8,337905.7847
2018/7/14,29.00 ,25.00 ,9,316234.2938
2018/7/15,29.00 ,25.00 ,9,300208.2736
2018/7/16,32.00 ,27.00 ,2,326717.1367
2018/7/17,35.00 ,27.00 ,1,340721.3488
2018/7/18,33.00 ,26.00 ,5,340140.1947
2018/7/19,35.00 ,27.00 ,5,341051.4536
2018/7/20,35.00 ,27.00 ,1,338734.7472
2018/7/21,35.00 ,27.00 ,1,334990.5102
2018/7/22,35.00 ,26.00 ,12,323992.6014
2018/7/23,31.00 ,26.00 ,10,334746.9802
2018/7/24,28.00 ,25.00 ,11,323537.3724
2018/7/25,33.00 ,26.00 ,5,335294.6755
2018/7/26,33.00 ,26.00 ,12,333664.0794
2018/7/27,33.00 ,26.00 ,12,334034.0598
2018/7/28,35.00 ,26.00 ,12,334137.8221
2018/7/29,35.00 ,27.00 ,5,323327.1982
2018/7/30,35.00 ,26.00 ,12,343757.7141
2018/7/31,33.00 ,26.00 ,12,338377.7882
2018/8/1,34.00 ,26.00 ,12,334544.5489
2018/8/2,34.00 ,27.00 ,12,347313.1749
2018/8/3,34.00 ,27.00 ,12,339869.4327
2018/8/4,35.00 ,27.00 ,5,336312.7139
2018/8/5,35.00 ,27.00 ,1,327322.7001
2018/8/6,34.00 ,26.00 ,1,314792.6266
2018/8/7,35.00 ,27.00 ,12,343121.7601
2018/8/8,35.00 ,27.00 ,12,340970.6304
2018/8/9,35.00 ,26.00 ,12,357176.2753
2018/8/10,32.00 ,27.00 ,8,344199.5342
2018/8/11,29.00 ,25.00 ,11,337770.3261
2018/8/12,30.00 ,25.00 ,10,290256.7888
2018/8/13,33.00 ,26.00 ,7,283796.4423
2018/8/14,35.00 ,26.00 ,10,272743.8822
2018/8/15,32.00 ,26.00 ,9,268257.4855
2018/8/16,32.00 ,26.00 ,7,268514.7311
2018/8/17,32.00 ,26.00 ,8,266180.7501
2018/8/18,33.00 ,27.00 ,12,256786.5519
2018/8/19,34.00 ,27.00 ,12,246401.0722
2018/8/20,34.00 ,27.00 ,12,272338.7201
2018/8/21,34.00 ,26.00 ,12,275028.216
2018/8/22,34.00 ,26.00 ,12,275697.5684
2018/8/23,33.00 ,26.00 ,12,269958.0457
2018/8/24,35.00 ,27.00 ,12,274842.2373
2018/8/25,35.00 ,27.00 ,12,272888.9935
2018/8/26,35.00 ,27.00 ,5,241625.1351
2018/8/27,31.00 ,25.00 ,12,268094.9856
2018/8/28,28.00 ,25.00 ,10,266286.7285
2018/8/29,31.00 ,25.00 ,11,262305.8176
2018/8/30,28.00 ,25.00 ,9,265503.1347
2018/8/31,31.00 ,26.00 ,5,261641.3498
2018/9/1,29.00 ,24.00 ,9,237811.1855
2018/9/2,31.00 ,26.00 ,12,230829.129
2018/9/3,33.00 ,25.00 ,5,276333.4709
2018/9/4,34.00 ,26.00 ,1,282368.4747
2018/9/5,35.00 ,26.00 ,0,292087.8902
2018/9/6,34.00 ,25.00 ,5,292006.3328
2018/9/7,31.00 ,24.00 ,10,271835.9353
2018/9/8,30.00 ,24.00 ,1,249337.9048
2018/9/9,31.00 ,24.00 ,1,257609.4981
2018/9/10,33.00 ,25.00 ,1,263244.4548
2018/9/11,33.00 ,24.00 ,1,264129.1541
2018/9/12,32.00 ,25.00 ,1,265397.0444
2018/9/13,33.00 ,25.00 ,5,277796.9679
2018/9/14,35.00 ,27.00 ,1,272213.4222
2018/9/15,36.00 ,27.00 ,1,259843.624
2018/9/16,30.00 ,25.00 ,11,209274.9561
2018/9/17,29.00 ,25.00 ,9,238779.9619
2018/9/18,31.00 ,26.00 ,12,283243.0496
2018/9/19,35.00 ,26.00 ,1,287887.8111
2018/9/20,34.00 ,26.00 ,1,289597.4628
2018/9/21,34.00 ,26.00 ,2,292810.9729
2018/9/22,32.00 ,25.00 ,12,258611.7026
2018/9/23,32.00 ,24.00 ,12,243532.8134
2018/9/24,31.00 ,25.00 ,5,232681.9612
2018/9/25,31.00 ,25.00 ,12,256254.4936
2018/9/26,31.00 ,24.00 ,2,265566.5182
2018/9/27,32.00 ,24.00 ,12,259193.264
2018/9/28,31.00 ,23.00 ,1,250222.4241
2018/9/29,31.00 ,22.00 ,0,250581.8154
2018/9/30,31.00 ,22.00 ,0,249162.635
2018/10/1,30.00 ,21.00 ,0,203042.6174
2018/10/2,31.00 ,21.00 ,0,196085.172
2018/10/3,31.00 ,21.00 ,0,208289.3521
2018/10/4,30.00 ,21.00 ,0,224067.6574
2018/10/5,31.00 ,21.00 ,0,251425.0821
2018/10/6,30.00 ,20.00 ,0,231797.9125
2018/10/7,31.00 ,22.00 ,0,251232.5232
2018/10/8,31.00 ,23.00 ,1,259753.5455
2018/10/9,31.00 ,22.00 ,1,271640.6306
2018/10/10,25.00 ,20.00 ,5,244692.5774
2018/10/11,26.00 ,18.00 ,1,240051.839
2018/10/12,27.00 ,20.00 ,1,234827.8882
2018/10/13,27.00 ,20.00 ,4,240226.0696
2018/10/14,28.00 ,23.00 ,1,233358.0735
2018/10/15,25.00 ,20.00 ,7,249506.5512
2018/10/16,26.00 ,19.00 ,5,259140.6021
2018/10/17,22.00 ,18.00 ,10,253941.3484
2018/10/18,25.00 ,20.00 ,2,237887.0293
2018/10/19,26.00 ,21.00 ,2,240491.0834
2018/10/20,27.00 ,21.00 ,2,243357.0834
2018/10/21,29.00 ,22.00 ,1,251570.1472
2018/10/22,28.00 ,22.00 ,5,247570.3712
2018/10/23,23.00 ,19.00 ,5,247275.1122
2018/10/24,25.00 ,20.00 ,2,253760.2418
2018/10/25,26.00 ,21.00 ,1,254841.8517
2018/10/26,24.00 ,19.00 ,4,244744.8472
2018/10/27,25.00 ,18.00 ,0,236863.3254
2018/10/28,26.00 ,16.00 ,0,224625.24
2018/10/29,28.00 ,17.00 ,0,243754.5894
2018/10/30,29.00 ,19.00 ,0,230507.2667
2018/10/31,28.00 ,20.00 ,2,241402.7491
2018/11/1,26.00 ,19.00 ,5,249367.0439
2018/11/2,27.00 ,19.00 ,2,245990.9367
2018/11/3,26.00 ,19.00 ,5,225125.5962
2018/11/4,25.00 ,19.00 ,4,228912.8734
2018/11/5,26.00 ,20.00 ,1,245101.2635
2018/11/6,29.00 ,21.00 ,1,247661.4391
2018/11/7,27.00 ,19.00 ,2,240158.1348
2018/11/8,26.00 ,18.00 ,1,254604.9035
2018/11/9,26.00 ,18.00 ,2,237240.1517
2018/11/10,26.00 ,19.00 ,5,236685.0754
2018/11/11,28.00 ,21.00 ,1,240181.8901
2018/11/12,27.00 ,20.00 ,2,245964.0069
2018/11/13,28.00 ,20.00 ,1,256275.8323
2018/11/14,27.00 ,20.00 ,2,245091.144
2018/11/15,26.00 ,22.00 ,4,237749.486
2018/11/16,25.00 ,19.00 ,4,248203.4635
2018/11/17,22.00 ,18.00 ,2,219495.1758
2018/11/18,24.00 ,16.00 ,4,218270.1556
2018/11/19,21.00 ,15.00 ,5,238926.169
2018/11/20,24.00 ,19.00 ,2,227894.2396
2018/11/21,22.00 ,14.00 ,8,241424.7649
2018/11/22,21.00 ,12.00 ,0,253205.3088
2018/11/23,22.00 ,14.00 ,1,239794.5634
2018/11/24,23.00 ,15.00 ,0,235864.523
2018/11/25,23.00 ,16.00 ,2,238088.8585
2018/11/26,24.00 ,15.00 ,5,235679.9486
2018/11/27,24.00 ,17.00 ,2,249121.7536
2018/11/28,23.00 ,14.00 ,2,227232.8951
2018/11/29,24.00 ,15.00 ,1,237869.1433
2018/11/30,26.00 ,17.00 ,1,242030.9733
2018/12/1,24.00 ,17.00 ,4,226508.601
2018/12/2,27.00 ,20.00 ,1,226603.6008
2018/12/3,28.00 ,19.00 ,2,236339.2205
2018/12/4,28.00 ,19.00 ,1,235396.8346
2018/12/5,27.00 ,20.00 ,2,238172.4229
2018/12/6,26.00 ,14.00 ,4,249723.9204
2018/12/7,16.00 ,12.00 ,2,227886.3399
2018/12/8,15.00 ,9.00 ,4,233147.8865
2018/12/9,11.00 ,8.00 ,6,228552.2064
2018/12/10,13.00 ,10.00 ,4,251665.0151
2018/12/11,15.00 ,8.00 ,4,227857.8582
2018/12/12,10.00 ,7.00 ,4,237376.537
2018/12/13,13.00 ,9.00 ,2,240886.4539
2018/12/14,15.00 ,10.00 ,1,251596.3415
2018/12/15,19.00 ,12.00 ,1,230520.1612
2018/12/16,19.00 ,12.00 ,2,215408.8776
2018/12/17,20.00 ,10.00 ,0,238549.9946
2018/12/18,21.00 ,10.00 ,1,243089.2921
2018/12/19,22.00 ,15.00 ,1,251731.0204
2018/12/20,25.00 ,19.00 ,2,255653.0522
2018/12/21,26.00 ,17.00 ,1,250612.1769
2018/12/22,27.00 ,18.00 ,2,228157.3966
2018/12/23,21.00 ,14.00 ,2,226937.5863
2018/12/24,16.00 ,13.00 ,4,247573.567
2018/12/25,19.00 ,14.00 ,2,238607.8424
2018/12/26,23.00 ,14.00 ,1,235838.4681
2018/12/27,18.00 ,13.00 ,2,249269.0021
2018/12/28,18.00 ,8.00 ,2,227622.7723
2018/12/29,11.00 ,5.00 ,2,225655.8565
2018/12/30,10.00 ,5.00 ,2,218528.5403
2018/12/31,10.00 ,4.00 ,2,231975.9178
2019/1/1,12.00 ,7.00 ,2,188674.3413
2019/1/2,11.00 ,6.00 ,4,227172.8139
2019/1/3,15.00 ,9.00 ,4,233401.553
2019/1/4,17.00 ,12.00 ,4,229214.9112
2019/1/5,17.00 ,12.00 ,4,233426.76
2019/1/6,16.00 ,11.00 ,2,214906.597
2019/1/7,16.00 ,12.00 ,2,235772.3304
2019/1/8,15.00 ,12.00 ,2,237050.3499
2019/1/9,18.00 ,11.00 ,4,223549.0417
2019/1/10,17.00 ,13.00 ,2,238675.7713
2019/1/11,18.00 ,15.00 ,4,237232.8014
2019/1/12,20.00 ,14.00 ,2,217039.7622
2019/1/13,22.00 ,16.00 ,2,210945.4574
2019/1/14,22.00 ,15.00 ,2,223673.1991
2019/1/15,20.00 ,12.00 ,2,211178.0452
2019/1/16,15.00 ,10.00 ,2,219299.5296
2019/1/17,18.00 ,9.00 ,1,224100.4971
2019/1/18,18.00 ,9.00 ,2,216567.1573
2019/1/19,20.00 ,14.00 ,2,196901.0573
2019/1/20,22.00 ,12.00 ,2,221681.14
2019/1/21,17.00 ,8.00 ,1,201887.5215
2019/1/22,17.00 ,7.00 ,0,204425.9432
2019/1/23,19.00 ,9.00 ,0,197637.4668
2019/1/24,20.00 ,12.00 ,1,189493.0217
2019/1/25,23.00 ,12.00 ,0,185274.8467
2019/1/26,20.00 ,10.00 ,0,198862.3017
2019/1/27,23.00 ,12.00 ,1,179794.7647
2019/1/28,22.00 ,12.00 ,1,184972.4063
2019/1/29,23.00 ,14.00 ,2,178938.4247
2019/1/30,25.00 ,15.00 ,2,175921.6149
2019/1/31,24.00 ,12.00 ,1,172883.5067
2019/2/1,19.00 ,12.00 ,2,163268.8695
2019/2/2,23.00 ,15.00 ,2,161568.5224
2019/2/3,22.00 ,16.00 ,2,166368.4748
2019/2/4,26.00 ,18.00 ,2,162858.8448
2019/2/5,26.00 ,19.00 ,2,160471.4152
2019/2/6,26.00 ,20.00 ,2,158909.6637
2019/2/7,28.00 ,21.00 ,2,145996.1086
2019/2/8,28.00 ,20.00 ,1,163450.4612
2019/2/9,23.00 ,16.00 ,2,158400.8688
2019/2/10,12.00 ,12.00 ,2,158544.1589
2019/2/11,13.00 ,8.00 ,4,153842.3482
2019/2/12,20.00 ,11.00 ,1,169249.054
2019/2/13,24.00 ,18.00 ,2,174551.2953
2019/2/14,24.00 ,17.00 ,2,192240.3712
2019/2/15,25.00 ,17.00 ,5,188532.2608
2019/2/16,25.00 ,16.00 ,4,181453.2956
2019/2/17,15.00 ,12.00 ,6,207459.6176
2019/2/18,15.00 ,13.00 ,10,207425.6102
2019/2/19,20.00 ,16.00 ,4,212255.7871
2019/2/20,24.00 ,18.00 ,5,218099.4749
2019/2/21,24.00 ,15.00 ,10,217831.4221
2019/2/22,18.00 ,11.00 ,6,223110.3519
2019/2/23,13.00 ,11.00 ,4,207902.4986
2019/2/24,13.00 ,9.00 ,4,212263.2892
2019/2/25,16.00 ,12.00 ,4,243954.4061
2019/2/26,14.00 ,11.00 ,4,244053.7321
2019/2/27,22.00 ,15.00 ,2,219954.0679
2019/2/28,22.00 ,15.00 ,2,235712.986
2019/3/1,25.00 ,16.00 ,1,223633.4356
2019/3/2,26.00 ,15.00 ,6,218199.2487
2019/3/3,20.00 ,13.00 ,4,237327.9079
2019/3/4,22.00 ,13.00 ,4,237505.7461
2019/3/5,23.00 ,15.00 ,12,237831.3269
2019/3/6,19.00 ,14.00 ,8,240147.1002
2019/3/7,16.00 ,13.00 ,10,238823.3382
2019/3/8,16.00 ,13.00 ,5,232251.5569
2019/3/9,17.00 ,13.00 ,6,242184.7398
2019/3/10,17.00 ,12.00 ,5,220253.11
2019/3/11,22.00 ,14.00 ,1,237251.1869
2019/3/12,24.00 ,14.00 ,1,238754.715
2019/3/13,25.00 ,17.00 ,7,235930.439
2019/3/14,20.00 ,18.00 ,6,227109.9776
2019/3/15,19.00 ,14.00 ,4,250784.9654
2019/3/16,22.00 ,17.00 ,2,232884.0187
2019/3/17,24.00 ,17.00 ,2,218047.6153
2019/3/18,23.00 ,17.00 ,4,235449.2714
2019/3/19,27.00 ,19.00 ,1,238795.0647
2019/3/20,28.00 ,22.00 ,1,228999.3157
2019/3/21,29.00 ,22.00 ,5,233919.7604
2019/3/22,28.00 ,18.00 ,12,246954.1098
2019/3/23,17.00 ,13.00 ,6,230747.1939
2019/3/24,18.00 ,12.00 ,6,227333.69
2019/3/25,18.00 ,14.00 ,4,234633.7626
2019/3/26,26.00 ,18.00 ,2,235059.3503
2019/3/27,25.00 ,20.00 ,2,239449.5662
2019/3/28,27.00 ,21.00 ,2,229795.1515
2019/3/29,26.00 ,21.00 ,6,233082.6372
2019/3/30,27.00 ,20.00 ,1,224920.7216
2019/3/31,26.00 ,18.00 ,7,216054.4806
2019/4/1,22.00 ,16.00 ,4,236762.089
2019/4/2,24.00 ,17.00 ,2,240892.9391
2019/4/3,27.00 ,20.00 ,5,242392.9409
2019/4/4,23.00 ,17.00 ,5,224295.7213
2019/4/5,27.00 ,18.00 ,1,203214.8587
2019/4/6,28.00 ,21.00 ,1,216375.1133
2019/4/7,30.00 ,22.00 ,1,246176.564
2019/4/8,31.00 ,24.00 ,1,251748.967
2019/4/9,31.00 ,24.00 ,1,247087.9891
2019/4/10,30.00 ,22.00 ,12,255334.1018
2019/4/11,30.00 ,23.00 ,8,245908.9843
2019/4/12,19.00 ,16.00 ,11,239987.6518
2019/4/13,22.00 ,17.00 ,9,239953.277
2019/4/14,25.00 ,20.00 ,9,234393.2908
2019/4/15,25.00 ,20.00 ,9,236479.0566
2019/4/16,23.00 ,19.00 ,6,241856.5226
2019/4/17,27.00 ,20.00 ,1,232647.6373
2019/4/18,25.00 ,22.00 ,11,234484.0117
2019/4/19,25.00 ,22.00 ,11,231008.4627
2019/4/20,28.00 ,20.00 ,12,234317.8856
2019/4/21,27.00 ,23.00 ,7,236016.151
2019/4/22,30.00 ,24.00 ,12,258492.9765
2019/4/23,30.00 ,24.00 ,5,265531.6487
2019/4/24,33.00 ,25.00 ,1,264483.2432
2019/4/25,32.00 ,25.00 ,12,269944.9884
2019/4/26,30.00 ,25.00 ,10,260520.493
2019/4/27,26.00 ,22.00 ,5,238817.3154
2019/4/28,27.00 ,22.00 ,12,253590.0153
2019/4/29,30.00 ,23.00 ,12,273088.2867
2019/4/30,27.00 ,21.00 ,11,238065.7254
2019/5/1,27.00 ,19.00 ,1,206913.6718
2019/5/2,25.00 ,20.00 ,5,216627.9483
2019/5/3,26.00 ,20.00 ,1,223189.5312
2019/5/4,25.00 ,21.00 ,4,217224.3858
2019/5/5,22.00 ,18.00 ,10,247172.2314
2019/5/6,23.00 ,19.00 ,8,244074.5076
2019/5/7,23.00 ,19.00 ,7,235570.9888
2019/5/8,22.00 ,19.00 ,10,245802.7148
2019/5/9,24.00 ,20.00 ,2,247705.8771
2019/5/10,29.00 ,23.00 ,1,264093.2161
2019/5/11,32.00 ,24.00 ,1,260864.259
2019/5/12,32.00 ,23.00 ,1,244543.2923
2019/5/13,33.00 ,25.00 ,1,265384.3795
2019/5/14,32.00 ,26.00 ,1,279394.9885
2019/5/15,32.00 ,26.00 ,12,260222.4152
2019/5/16,33.00 ,26.00 ,12,267034.8254
2019/5/17,34.00 ,27.00 ,12,269511.5174
2019/5/18,35.00 ,27.00 ,12,257319.0494
2019/5/19,35.00 ,24.00 ,12,257887.8541
2019/5/20,31.00 ,24.00 ,7,265268.9761
2019/5/21,31.00 ,24.00 ,5,260941.3391
2019/5/22,29.00 ,24.00 ,10,258024.8496
2019/5/23,29.00 ,23.00 ,9,262874.4047
2019/5/24,29.00 ,24.00 ,8,259200.6693
2019/5/25,31.00 ,25.00 ,8,272310.9755
2019/5/26,30.00 ,24.00 ,10,247575.7249
2019/5/27,29.00 ,24.00 ,11,259160.8645
2019/5/28,29.00 ,24.00 ,11,267254.5948
2019/5/29,27.00 ,24.00 ,11,257981.1995
2019/5/30,29.00 ,24.00 ,10,256111.0611
2019/5/31,29.00 ,25.00 ,7,251267.5302
2019/6/1,30.00 ,25.00 ,10,244177.8973
2019/6/2,31.00 ,25.00 ,10,242945.7438
