date,zdz
2018/5/2,315434.9107
2018/5/3,328679.3448
2018/5/4,310476.7512
2018/5/5,311655.0189
2018/5/6,311937.1643
2018/5/7,334173.4147
2018/5/8,320392.4278
2018/5/9,313916.4452
2018/5/10,306565.6252
2018/5/11,314508.8078
2018/5/12,318266.1976
2018/5/13,310069.2071
2018/5/14,338010.7439
2018/5/15,346404.0841
2018/5/16,343511.4032
2018/5/17,339916.84
2018/5/18,347766.527
2018/5/19,343726.3594
2018/5/20,336954.2418
2018/5/21,358528.7798
2018/5/22,363029.0504
2018/5/23,369600.4681
2018/5/24,362364.5489
2018/5/25,364296.7253
2018/5/26,353214.3933
2018/5/27,343580.1163
2018/5/28,366257.9054
2018/5/29,357012.042
2018/5/30,363534.0643
2018/5/31,356936.8977
2018/6/1,364523.4461
2018/6/2,340796.6705
2018/6/3,335672.3722
2018/6/4,353952.9258
2018/6/5,348637.6692
2018/6/6,333981.4833
2018/6/7,329136.7106
2018/6/8,318319.4937
2018/6/9,319362.532
2018/6/10,321746.9182
2018/6/11,340670.4113
2018/6/12,345233.2913
2018/6/13,326371.2555
2018/6/14,325861.3075
2018/6/15,322835.5566
2018/6/16,319356.907
2018/6/17,311579.6786
2018/6/18,297469.1659
2018/6/19,342093.4642
2018/6/20,347934.3381
2018/6/21,343674.9721
2018/6/22,343325.287
2018/6/23,320683.5605
2018/6/24,309764.6628
2018/6/25,323047.0885
2018/6/26,319557.7675
2018/6/27,329076.2233
2018/6/28,338669.8109
2018/6/29,339965.5641
2018/6/30,328747.8384
2018/7/1,324237.6697
2018/7/2,344515.6879
2018/7/3,340815.2326
2018/7/4,345668.0913
2018/7/5,346529.0891
2018/7/6,345338.5177
2018/7/7,327533.4564
2018/7/8,311845.6033
2018/7/9,333871.0008
2018/7/10,338169.6503
2018/7/11,345017.2822
2018/7/12,346219.178
2018/7/13,337905.7847
2018/7/14,316234.2938
2018/7/15,300208.2736
2018/7/16,326717.1367
2018/7/17,340721.3488
2018/7/18,340140.1947
2018/7/19,341051.4536
2018/7/20,338734.7472
2018/7/21,334990.5102
2018/7/22,323992.6014
2018/7/23,334746.9802
2018/7/24,323537.3724
2018/7/25,335294.6755
2018/7/26,333664.0794
2018/7/27,334034.0598
2018/7/28,334137.8221
2018/7/29,323327.1982
2018/7/30,343757.7141
2018/7/31,338377.7882
2018/8/1,334544.5489
2018/8/2,347313.1749
2018/8/3,339869.4327
2018/8/4,336312.7139
2018/8/5,327322.7001
2018/8/6,314792.6266
2018/8/7,343121.7601
2018/8/8,340970.6304
2018/8/9,357176.2753
2018/8/10,344199.5342
2018/8/11,337770.3261
2018/8/12,290256.7888
2018/8/13,283796.4423
2018/8/14,272743.8822
2018/8/15,268257.4855
2018/8/16,268514.7311
2018/8/17,266180.7501
2018/8/18,256786.5519
2018/8/19,246401.0722
2018/8/20,272338.7201
2018/8/21,275028.216
2018/8/22,275697.5684
2018/8/23,269958.0457
2018/8/24,274842.2373
2018/8/25,272888.9935
2018/8/26,241625.1351
2018/8/27,268094.9856
2018/8/28,266286.7285
2018/8/29,262305.8176
2018/8/30,265503.1347
2018/8/31,261641.3498
2018/9/1,237811.1855
2018/9/2,230829.129
2018/9/3,276333.4709
2018/9/4,282368.4747
2018/9/5,292087.8902
2018/9/6,292006.3328
2018/9/7,271835.9353
2018/9/8,249337.9048
2018/9/9,257609.4981
2018/9/10,263244.4548
2018/9/11,264129.1541
2018/9/12,265397.0444
2018/9/13,277796.9679
2018/9/14,272213.4222
2018/9/15,259843.624
2018/9/16,209274.9561
2018/9/17,238779.9619
2018/9/18,283243.0496
2018/9/19,287887.8111
2018/9/20,289597.4628
2018/9/21,292810.9729
2018/9/22,258611.7026
2018/9/23,243532.8134
2018/9/24,232681.9612
2018/9/25,256254.4936
2018/9/26,265566.5182
2018/9/27,259193.264
2018/9/28,250222.4241
2018/9/29,250581.8154
2018/9/30,249162.635
2018/10/1,203042.6174
2018/10/2,196085.172
2018/10/3,208289.3521
2018/10/4,224067.6574
2018/10/5,251425.0821
2018/10/6,231797.9125
2018/10/7,251232.5232
2018/10/8,259753.5455
2018/10/9,271640.6306
2018/10/10,244692.5774
2018/10/11,240051.839
2018/10/12,234827.8882
2018/10/13,240226.0696
2018/10/14,233358.0735
2018/10/15,249506.5512
2018/10/16,259140.6021
2018/10/17,253941.3484
2018/10/18,237887.0293
2018/10/19,240491.0834
2018/10/20,243357.0834
2018/10/21,251570.1472
2018/10/22,247570.3712
2018/10/23,247275.1122
2018/10/24,253760.2418
2018/10/25,254841.8517
2018/10/26,244744.8472
2018/10/27,236863.3254
2018/10/28,224625.24
2018/10/29,243754.5894
2018/10/30,230507.2667
2018/10/31,241402.7491
2018/11/1,249367.0439
2018/11/2,245990.9367
2018/11/3,225125.5962
2018/11/4,228912.8734
2018/11/5,245101.2635
2018/11/6,247661.4391
2018/11/7,240158.1348
2018/11/8,254604.9035
2018/11/9,237240.1517
2018/11/10,236685.0754
2018/11/11,240181.8901
2018/11/12,245964.0069
2018/11/13,256275.8323
2018/11/14,245091.144
2018/11/15,237749.486
2018/11/16,248203.4635
2018/11/17,219495.1758
2018/11/18,218270.1556
2018/11/19,238926.169
2018/11/20,227894.2396
2018/11/21,241424.7649
2018/11/22,253205.3088
2018/11/23,239794.5634
2018/11/24,235864.523
2018/11/25,238088.8585
2018/11/26,235679.9486
2018/11/27,249121.7536
2018/11/28,227232.8951
2018/11/29,237869.1433
2018/11/30,242030.9733
2018/12/1,226508.601
2018/12/2,226603.6008
2018/12/3,236339.2205
2018/12/4,235396.8346
2018/12/5,238172.4229
2018/12/6,249723.9204
2018/12/7,227886.3399
2018/12/8,233147.8865
2018/12/9,228552.2064
2018/12/10,251665.0151
2018/12/11,227857.8582
2018/12/12,237376.537
2018/12/13,240886.4539
2018/12/14,251596.3415
2018/12/15,230520.1612
2018/12/16,215408.8776
2018/12/17,238549.9946
2018/12/18,243089.2921
2018/12/19,251731.0204
2018/12/20,255653.0522
2018/12/21,250612.1769
2018/12/22,228157.3966
2018/12/23,226937.5863
2018/12/24,247573.567
2018/12/25,238607.8424
2018/12/26,235838.4681
2018/12/27,249269.0021
2018/12/28,227622.7723
2018/12/29,225655.8565
2018/12/30,218528.5403
2018/12/31,231975.9178
2019/1/1,188674.3413
2019/1/2,227172.8139
2019/1/3,233401.553
2019/1/4,229214.9112
2019/1/5,233426.76
2019/1/6,214906.597
2019/1/7,235772.3304
2019/1/8,237050.3499
2019/1/9,223549.0417
2019/1/10,238675.7713
2019/1/11,237232.8014
2019/1/12,217039.7622
2019/1/13,210945.4574
2019/1/14,223673.1991
2019/1/15,211178.0452
2019/1/16,219299.5296
2019/1/17,224100.4971
2019/1/18,216567.1573
2019/1/19,196901.0573
2019/1/20,221681.14
2019/1/21,201887.5215
2019/1/22,204425.9432
2019/1/23,197637.4668
2019/1/24,189493.0217
2019/1/25,185274.8467
2019/1/26,198862.3017
2019/1/27,179794.7647
2019/1/28,184972.4063
2019/1/29,178938.4247
2019/1/30,175921.6149
2019/1/31,172883.5067
2019/2/1,163268.8695
2019/2/2,161568.5224
2019/2/3,166368.4748
2019/2/4,162858.8448
2019/2/5,160471.4152
2019/2/6,158909.6637
2019/2/7,145996.1086
2019/2/8,163450.4612
2019/2/9,158400.8688
2019/2/10,158544.1589
2019/2/11,153842.3482
2019/2/12,169249.054
2019/2/13,174551.2953
2019/2/14,192240.3712
2019/2/15,188532.2608
2019/2/16,181453.2956
2019/2/17,207459.6176
2019/2/18,207425.6102
2019/2/19,212255.7871
2019/2/20,218099.4749
2019/2/21,217831.4221
2019/2/22,223110.3519
2019/2/23,207902.4986
2019/2/24,212263.2892
2019/2/25,243954.4061
2019/2/26,244053.7321
2019/2/27,219954.0679
2019/2/28,235712.986
2019/3/1,223633.4356
2019/3/2,218199.2487
2019/3/3,237327.9079
2019/3/4,237505.7461
2019/3/5,237831.3269
2019/3/6,240147.1002
2019/3/7,238823.3382
2019/3/8,232251.5569
2019/3/9,242184.7398
2019/3/10,220253.11
2019/3/11,237251.1869
2019/3/12,238754.715
2019/3/13,235930.439
2019/3/14,227109.9776
2019/3/15,250784.9654
2019/3/16,232884.0187
2019/3/17,218047.6153
2019/3/18,235449.2714
2019/3/19,238795.0647
2019/3/20,228999.3157
2019/3/21,233919.7604
2019/3/22,246954.1098
2019/3/23,230747.1939
2019/3/24,227333.69
2019/3/25,234633.7626
2019/3/26,235059.3503
2019/3/27,239449.5662
2019/3/28,229795.1515
2019/3/29,233082.6372
2019/3/30,224920.7216
2019/3/31,216054.4806
2019/4/1,236762.089
2019/4/2,240892.9391
2019/4/3,242392.9409
2019/4/4,224295.7213
2019/4/5,203214.8587
2019/4/6,216375.1133
2019/4/7,246176.564
2019/4/8,251748.967
2019/4/9,247087.9891
2019/4/10,255334.1018
2019/4/11,245908.9843
2019/4/12,239987.6518
2019/4/13,239953.277
2019/4/14,234393.2908
2019/4/15,236479.0566
2019/4/16,241856.5226
2019/4/17,232647.6373
2019/4/18,234484.0117
2019/4/19,231008.4627
2019/4/20,234317.8856
2019/4/21,236016.151
2019/4/22,258492.9765
2019/4/23,265531.6487
2019/4/24,264483.2432
2019/4/25,269944.9884
2019/4/26,260520.493
2019/4/27,238817.3154
2019/4/28,253590.0153
2019/4/29,273088.2867
2019/4/30,238065.7254
2019/5/1,206913.6718
2019/5/2,216627.9483
2019/5/3,223189.5312
2019/5/4,217224.3858
2019/5/5,247172.2314
2019/5/6,244074.5076
2019/5/7,235570.9888
2019/5/8,245802.7148
2019/5/9,247705.8771
2019/5/10,264093.2161
2019/5/11,260864.259
2019/5/12,244543.2923
2019/5/13,265384.3795
2019/5/14,279394.9885
2019/5/15,260222.4152
2019/5/16,267034.8254
2019/5/17,269511.5174
2019/5/18,257319.0494
2019/5/19,257887.8541
2019/5/20,265268.9761
2019/5/21,260941.3391
2019/5/22,258024.8496
2019/5/23,262874.4047
2019/5/24,259200.6693
2019/5/25,272310.9755
2019/5/26,247575.7249
2019/5/27,259160.8645
2019/5/28,267254.5948
2019/5/29,257981.1995
2019/5/30,256111.0611
2019/5/31,251267.5302
2019/6/1,244177.8973
2019/6/2,242945.7438
2019/6/3,243221.65
2019/6/4,275636.3116
2019/6/5,276693.7747
2019/6/6,275365.319
2019/6/7,221743.824
2019/6/8,248322.7241
2019/6/9,232768.6308
2019/6/10,253324.9411
2019/6/11,274152.8875
2019/6/12,242426.5674
2019/6/13,246777.0207
2019/6/14,195555.5414
2019/6/15,23883.3658
2019/6/16,182475.6018
2019/6/17,244356.9065
2019/6/18,255775.3042
2019/6/19,259798.6473
2019/6/20,270012.0151
2019/6/21,271250.199
2019/6/22,261386.7295
2019/6/23,245858.0528
2019/6/24,249584.8939
2019/6/25,244594.9278
2019/6/26,242001.2664
2019/6/27,253687.289
2019/6/28,277395.2804
2019/6/29,269802.4017
2019/6/30,248021.4011
2019/7/1,280719.9865
2019/7/2,277000.8188
2019/7/3,295079.4532
2019/7/4,300356.7927
2019/7/5,298731.0003
2019/7/6,274933.9807
2019/7/7,281723.1953
2019/7/8,285384.0127
2019/7/9,278746.6227
2019/7/10,289884.8988
2019/7/11,279444.2569
2019/7/12,273591.4651
2019/7/13,263236.665
2019/7/14,279543.9764
2019/7/15,283671.1782
2019/7/16,299738.2925
2019/7/17,306991.8744
2019/7/18,288794.2975
2019/7/19,292344.1216
2019/7/20,276643.4115
2019/7/21,260717.5432
2019/7/22,279549.3089
2019/7/23,277630.1956
2019/7/24,275877.3936
2019/7/25,299595.8039
2019/7/26,275392.9048
2019/7/27,277501.2251
2019/7/28,248842.2904
2019/7/29,283385.6617
2019/7/30,296007.8859
2019/7/31,281443.4167
2019/8/1,281193.1955
2019/8/2,281495.2938
2019/8/3,267913.1266
2019/8/4,255114.7797
2019/8/5,272920.6238
2019/8/6,303133.0668
2019/8/7,302552.4539
2019/8/8,285916.6942
2019/8/9,281650.2974
2019/8/10,274133.6232
2019/8/11,267838.3905
2019/8/12,289872.6779
2019/8/13,304405.386
2019/8/14,291944.9083
2019/8/15,287913.9792
2019/8/16,276972.8016
2019/8/17,273156.568
2019/8/18,259625.2649
2019/8/19,273049.6516
2019/8/20,299187.479
2019/8/21,301932.9103
2019/8/22,286900.1351
2019/8/23,280074.7905
2019/8/24,291851.7256
2019/8/25,257405.2012
2019/8/26,273727.7425
2019/8/27,273788.4613
2019/8/28,277895.626
2019/8/29,283085.6198
2019/8/30,278211.6335
2019/8/31,283806.2186
2019/9/1,255937.8864
2019/9/2,277304.1537
2019/9/3,297573.0452
2019/9/4,267032.9942
2019/9/5,271065.1978
2019/9/6,300331.1585
2019/9/7,279942.3555
2019/9/8,258103.5953
2019/9/9,309370.9799
2019/9/10,278924.4914
2019/9/11,292513.2692
2019/9/12,290473.6552
2019/9/13,243088.1468
2019/9/14,258157.6313
2019/9/15,269228.8331
2019/9/16,275426.499
2019/9/17,272293.6565
2019/9/18,280491.0116
2019/9/19,284883.3904
2019/9/20,282835.1853
2019/9/21,271116.9146
2019/9/22,277255.7448
2019/9/23,278458.0122
2019/9/24,273918.7077
2019/9/25,294237.3866
2019/9/26,265738.1122
2019/9/27,292103.0858
2019/9/28,272596.6027
2019/9/29,263497.8786
2019/9/30,261256.8348
2019/10/1,214467.2244
2019/10/2,237499.4411
2019/10/3,249484.6873
2019/10/4,260826.1344
2019/10/5,249096.2274
2019/10/6,252613.776
2019/10/7,285950.2348
2019/10/8,280650.9617
2019/10/9,278272.4917
2019/10/10,277977.5293
2019/10/11,300026.7991
2019/10/12,283411.5775
2019/10/13,251931.3991
2019/10/14,264197.8172
2019/10/15,258957.6355
2019/10/16,256592.8598
2019/10/17,274061.5853
2019/10/18,284672.56
2019/10/19,246433.4233
2019/10/20,245985.8111
2019/10/21,279116.2978
2019/10/22,285540.7684
2019/10/23,274832.193
2019/10/24,272041.1134
2019/10/25,253212.1644
2019/10/26,260785.3083
2019/10/27,245126.2513
2019/10/28,278581.4689
2019/10/29,259587.8228
2019/10/30,250303.9208
2019/10/31,250801.0251
2019/11/1,249899.2789
2019/11/2,263331.1742
2019/11/3,262297.3257
2019/11/4,241222.0118
2019/11/5,239490.3791
2019/11/6,238959.965
2019/11/7,237749.85
2019/11/8,237156.4228
2019/11/9,231231.9446
2019/11/10,224945.1091
2019/11/11,236751.4103
2019/11/12,241285.5808
2019/11/13,243199.6094
2019/11/14,237979.5324
2019/11/15,238679.0654
2019/11/16,232602.2116
2019/11/17,222339.313
2019/11/18,239452.9279
2019/11/19,233660.7969
2019/11/20,233587.0946
2019/11/21,233638.9529
2019/11/22,235072.4417
2019/11/23,231048.4716
2019/11/24,225095.4411
2019/11/25,237480.9969
2019/11/26,233463.8334
2019/11/27,236197.7654
2019/11/28,232442.1369
2019/11/29,231205.5517
2019/11/30,224660.4546
2019/12/1,214331.1627
2019/12/2,228045.9553
2019/12/3,229891.9537
2019/12/4,231311.433
2019/12/5,232349.0211
2019/12/6,229628.4804
2019/12/7,225936.5436
2019/12/8,217697.2033
2019/12/9,233147.4102
2019/12/10,229655.5202
2019/12/11,229995.8241
2019/12/12,231137.8087
2019/12/13,231496.4811
2019/12/14,226210.4675
2019/12/15,214685.7306
2019/12/16,230819.5641
2019/12/17,235242.7836
2019/12/18,239197.4133
2019/12/19,234356.3417
2019/12/20,231553.1555
2019/12/21,226063.6785
2019/12/22,218088.188
2019/12/23,230638.5975
2019/12/24,232945.0433
2019/12/25,232385.5684
2019/12/26,232210.9356
2019/12/27,230640.7355
2019/12/28,224488.8268
2019/12/29,217863.6872
2019/12/30,226062.6194
2019/12/31,220699.741
2020/1/1,186710.5015
2020/1/2,226577.925
2020/1/3,228546.9143
2020/1/4,224754.6597
2020/1/5,219153.2883
2020/1/6,228658.4205
2020/1/7,227857.8454
2020/1/8,225055.1678
2020/1/9,224447.7094
2020/1/10,222878.8863
2020/1/11,213847.3807
2020/1/12,202173.6823
2020/1/13,208829.778
2020/1/14,200661.6337
2020/1/15,193271.042
2020/1/16,187361.9988
2020/1/17,179869.6692
2020/1/18,167295.7811
2020/1/19,163151.2481
2020/1/20,152769.2001
2020/1/21,146109.7837
2020/1/22,135736.2162
2020/1/23,133852.9283
2020/1/24,125301.7075
2020/1/25,122493.5165
2020/1/26,120613.2124
2020/1/27,117852.1971
2020/1/28,117880.9752
2020/1/29,115131.6854
2020/1/30,116242.4956
2020/1/31,117684.5322
2020/2/1,116895.8552
2020/2/2,116823.3108
2020/2/3,120958.6412
2020/2/4,122151.101
2020/2/5,121963.0829
2020/2/6,121954.5717
2020/2/7,121692.6566
2020/2/8,120351.8711
2020/2/9,120932.5666
2020/2/10,133443.7027
2020/2/11,133753.3441
2020/2/12,136577.4429
2020/2/13,140354.506
2020/2/14,142360.0218
2020/2/15,141283.8109
2020/2/16,135959.8746
2020/2/17,149498.3959
2020/2/18,154987.9058
2020/2/19,157457.0563
2020/2/20,156564.737
2020/2/21,158898.8226
2020/2/22,158567.783
2020/2/23,157525.5182
2020/2/24,174219.0767
2020/2/25,179694.9678
2020/2/26,183243.7558
2020/2/27,187007.3985
2020/2/28,188934.4104
2020/2/29,185021.5556
2020/3/1,183684.2804
2020/3/2,199212.3436
2020/3/3,203077.9186
2020/3/4,204808.4827
2020/3/5,205582.1061
2020/3/6,206566.1593
2020/3/7,202235.5632
2020/3/8,198965.8769
2020/3/9,211462.2587
2020/3/10,210787.2708
2020/3/11,210818.9798
2020/3/12,212935.9473
2020/3/13,216219.9177
2020/3/14,210398.9051
2020/3/15,199176.0094
2020/3/16,214051.5377
2020/3/17,218995.4539
2020/3/18,217222.2499
2020/3/19,218764.6156
2020/3/20,219301.3436
2020/3/21,215129.7922
2020/3/22,210148.3479
2020/3/23,226618.2772
2020/3/24,225640.7489
2020/3/25,227029.7221
2020/3/26,225678.0687
2020/3/27,229461.074
2020/3/28,217455.8512
2020/3/29,211410.0279
2020/3/30,220588.6655
2020/3/31,221351.5861
2020/4/1,219790.1622
2020/4/2,219922.0643
2020/4/3,213644.6685
2020/4/4,179822.8472
2020/4/5,195843.6085
2020/4/6,212661.1811
2020/4/7,219099.1377
2020/4/8,219307.1996
2020/4/9,221256.1754
2020/4/10,221751.6845
2020/4/11,219161.8721
2020/4/12,205927.6451
2020/4/13,216379.2615
2020/4/14,220683.7283
2020/4/15,218637.1264
2020/4/16,220533.0261
2020/4/17,222598.921
2020/4/18,217453.591
2020/4/19,212899.7464
2020/4/20,234212.9114
2020/4/21,240529.4849
2020/4/22,224067.8655
2020/4/23,221456.5895
2020/4/24,219363.1136
2020/4/25,213296.4319
2020/4/26,212945.8688
2020/4/27,225364.9906
2020/4/28,231139.5146
2020/4/29,229704.7657
2020/4/30,227360.89
2020/5/1,186706.6413
2020/5/2,203371.0194
2020/5/3,215756.9538
2020/5/4,236955.1598
2020/5/5,244282.8308
2020/5/6,261604.5763
2020/5/7,264723.7923
2020/5/8,268339.1965
2020/5/9,267807.6531
2020/5/10,245702.5655
2020/5/11,264033.0126
2020/5/12,257740.9466
2020/5/13,262774.6737
2020/5/14,262234.4142
2020/5/15,264469.1725
2020/5/16,250365.3522
2020/5/17,234578.3838
2020/5/18,258178.845
2020/5/19,261626.276
2020/5/20,266453.7253
2020/5/21,268825.3403
2020/5/22,263825.0627
2020/5/23,247261.8511
2020/5/24,236934.3833
2020/5/25,263928.8327
2020/5/26,268193.1167
2020/5/27,258399.7289
2020/5/28,258465.6552
2020/5/29,265589.133
2020/5/30,248501.9858
2020/5/31,238017.5703
2020/6/1,265452.3274
2020/6/2,259558.8689
2020/6/3,262939.7895
2020/6/4,269998.3766
2020/6/5,272392.3744
2020/6/6,252122.1456
2020/6/7,234502.2087
2020/6/8,262500.656
2020/6/9,265019.4936
2020/6/10,264516.5225
2020/6/11,269195.9514
2020/6/12,270836.7008
2020/6/13,259351.9978
2020/6/14,238621.8203
2020/6/15,268854.317
2020/6/16,269116.8829
2020/6/17,269540.8402
2020/6/18,272122.2214
2020/6/19,271442.889
2020/6/20,259912.4941
2020/6/21,249366.7669
2020/6/22,278392.7457
2020/6/23,278194.7777
2020/6/24,278263.5323
2020/6/25,221704.5348
2020/6/26,247414.303
2020/6/27,254672.2025
2020/6/28,272459.5273
2020/6/29,274207.2761
2020/6/30,276624.7687
2020/7/1,273928.2459
2020/7/2,278968.6794
2020/7/3,273194.8865
2020/7/4,260221.9505
2020/7/5,248608.1813
2020/7/6,278611.3353
2020/7/7,280185.3914
2020/7/8,280456.5578
2020/7/9,282065.4657
2020/7/10,282146.8626
2020/7/11,269497.5368
2020/7/12,254936.1622
2020/7/13,283502.8823
2020/7/14,285426.857
2020/7/15,284451.525
2020/7/16,283500.5422
2020/7/17,282914.6269
2020/7/18,271810.6729
2020/7/19,254613.0269
2020/7/20,281874.1932
2020/7/21,282534.9592
2020/7/22,281338.6125
2020/7/23,282416.8673
2020/7/24,283157.2516
2020/7/25,271266.5525
2020/7/26,254224.4318
2020/7/27,284770.553
2020/7/28,283874.5247
2020/7/29,283853.4996
2020/7/30,285616.4519
2020/7/31,275376.1409
2020/8/1,260173.0663
2020/8/2,244379.2443
2020/8/3,269334.2715
2020/8/4,270041.4218
2020/8/5,267072.729
2020/8/6,272939.0993
2020/8/7,276048.2371
2020/8/8,266373.3509
2020/8/9,254796.8545
2020/8/10,280497.0311
2020/8/11,282048.517
2020/8/12,276057.3588
2020/8/13,271812.2903
2020/8/14,275745.4044
2020/8/15,258104.5563
2020/8/16,246111.9555
2020/8/17,275121.8622
2020/8/18,277583.6676
2020/8/19,263860.0167
2020/8/20,273481.3065
2020/8/21,275919.5869
2020/8/22,266231.6338
2020/8/23,253937.5853
2020/8/24,283655.4711
2020/8/25,287386.0752
2020/8/26,284160.188
2020/8/27,281054.8171
2020/8/28,283710.2902
2020/8/29,269452.8383
2020/8/30,256631.7042
2020/8/31,278106.4172
2020/9/1,282802.8604
2020/9/2,287010.4516
2020/9/3,286197.9387
2020/9/4,289028.5063
2020/9/5,264714.5936
2020/9/6,256750.9357
2020/9/7,284867.335
2020/9/8,275686.3198
2020/9/9,277861.8696
2020/9/10,281310.6953
2020/9/11,283439.672
2020/9/12,272548.5661
2020/9/13,254768.8736
2020/9/14,277820.2716
2020/9/15,273081.1369
2020/9/16,275843.6807
2020/9/17,279487.397
2020/9/18,275579.6071
2020/9/19,259657.0119
2020/9/20,253690.1431
2020/9/21,278777.8796
2020/9/22,280219.9288
2020/9/23,280303.0075
2020/9/24,269257.1234
2020/9/25,266644.8381
2020/9/26,259831.1066
2020/9/27,252791.1281
2020/9/28,258085.5233
2020/9/29,265863.5546
2020/9/30,265720.0419
2020/10/1,195753.5881
2020/10/2,204783.4303
2020/10/3,224688.6131
2020/10/4,237674.395
2020/10/5,245155.299
2020/10/6,242697.1253
2020/10/7,239676.3881
2020/10/8,236967.8182
2020/10/9,245586.3939
2020/10/10,250804.3484
2020/10/11,241012.9712
2020/10/12,260090.4776
2020/10/13,258893.7034
2020/10/14,262320.3282
2020/10/15,262505.2116
2020/10/16,258403.1974
2020/10/17,246364.2251
2020/10/18,238006.5561
2020/10/19,247830.0907
2020/10/20,248577.2472
2020/10/21,245977.8537
2020/10/22,246112.0111
2020/10/23,242388.2719
2020/10/24,238126.8097
2020/10/25,233082.1749
2020/10/26,252483.7505
2020/10/27,256304.6633
2020/10/28,256606.6211
2020/10/29,251262.3464
2020/10/30,247299.379
2020/10/31,238728.1065
2020/11/1,229288.5445
2020/11/2,248896.4193
2020/11/3,247232.1429
2020/11/4,244867.2642
2020/11/5,248542.1416
2020/11/6,250156.8387
2020/11/7,245412.5719
2020/11/8,235824.7834
2020/11/9,244559.4973
2020/11/10,243818.4558
2020/11/11,243219.9958
2020/11/12,243118.3793
2020/11/13,244388.4502
2020/11/14,238871.0845
2020/11/15,227423.303
2020/11/16,245727.3535
2020/11/17,249822.0539
2020/11/18,253596.4497
2020/11/19,258387.9186
2020/11/20,261657.2915
2020/11/21,252622.8335
2020/11/22,242439.3411
2020/11/23,244836.0218
2020/11/24,245671.1848
2020/11/25,247753.0271
2020/11/26,248084.4244
2020/11/27,242663.8044
2020/11/28,237249.1689
2020/11/29,226570.9501
2020/11/30,234281.6511
2020/12/1,234836.2037
2020/12/2,237670.2249
2020/12/3,239004.417
2020/12/4,238464.538
2020/12/5,233561.1782
2020/12/6,227305.1612
2020/12/7,236838.309
2020/12/8,238850.8529
2020/12/9,238439.1525
2020/12/10,238784.956
2020/12/11,238020.8496
2020/12/12,235260.4691
2020/12/13,225834.6387
2020/12/14,239586.2965
2020/12/15,241472.6957
2020/12/16,240576.6064
2020/12/17,242596.837
2020/12/18,243892.4307
2020/12/19,237924.1197
